,Date,Close
0,2023-01-03,124.375
1,2023-01-04,125.658
2,2023-01-05,124.325
3,2023-01-06,128.9
4,2023-01-09,129.427
5,2023-01-10,130.003
6,2023-01-11,132.748
7,2023-01-12,132.668
8,2023-01-13,134.011
9,2023-01-17,135.184
10,2023-01-18,134.458
11,2023-01-19,134.518
12,2023-01-20,137.104
13,2023-01-23,140.326
14,2023-01-24,141.738
15,2023-01-25,141.071
16,2023-01-26,143.16
17,2023-01-27,145.119
18,2023-01-30,142.205
19,2023-01-31,143.488
20,2023-02-01,144.622
21,2023-02-02,149.982
22,2023-02-03,153.641
23,2023-02-06,150.887
24,2023-02-07,153.79
25,2023-02-08,151.076
26,2023-02-09,150.031
27,2023-02-10,150.4
28,2023-02-13,153.228
29,2023-02-14,152.581
30,2023-02-15,154.702
31,2023-02-16,153.089
32,2023-02-17,151.934
33,2023-02-21,147.88
34,2023-02-22,148.308
35,2023-02-23,148.796
36,2023-02-24,146.117
37,2023-02-27,147.322
38,2023-02-28,146.814
39,2023-03-01,144.723
40,2023-03-02,145.321
41,2023-03-03,150.42
42,2023-03-06,153.209
43,2023-03-07,150.988
44,2023-03-08,152.252
45,2023-03-09,149.982
46,2023-03-10,147.9
47,2023-03-13,149.862
48,2023-03-14,151.974
49,2023-03-15,152.372
50,2023-03-16,155.22
51,2023-03-17,154.374
52,2023-03-20,156.764
53,2023-03-21,158.636
54,2023-03-22,157.192
55,2023-03-23,158.288
56,2023-03-24,159.603
57,2023-03-27,157.641
58,2023-03-28,157.013
59,2023-03-29,160.12
60,2023-03-30,161.704
61,2023-03-31,164.234
62,2023-04-03,165.499
63,2023-04-04,164.961
64,2023-04-05,163.098
65,2023-04-06,163.995
66,2023-04-10,161.375
67,2023-04-11,160.15
68,2023-04-12,159.453
69,2023-04-13,164.891
70,2023-04-14,164.543
71,2023-04-17,164.562
72,2023-04-18,165.797
73,2023-04-19,166.953
74,2023-04-20,165.977
75,2023-04-21,164.353
76,2023-04-24,164.662
77,2023-04-25,163.108
78,2023-04-26,163.098
79,2023-04-27,167.73
80,2023-04-28,168.994
81,2023-05-01,168.905
82,2023-05-02,167.859
83,2023-05-03,166.773
84,2023-05-04,165.12
85,2023-05-05,172.869
86,2023-05-08,172.799
87,2023-05-09,171.076
88,2023-05-10,172.854
89,2023-05-11,173.048
90,2023-05-12,172.111
91,2023-05-15,171.612
92,2023-05-16,171.612
93,2023-05-17,172.23
94,2023-05-18,174.584
95,2023-05-19,174.694
96,2023-05-22,173.736
97,2023-05-23,171.103
98,2023-05-24,171.382
99,2023-05-25,172.529
100,2023-05-26,174.963
101,2023-05-30,176.828
102,2023-05-31,176.778
103,2023-06-01,179.611
104,2023-06-02,180.468
105,2023-06-05,179.102
106,2023-06-06,178.733
107,2023-06-07,177.347
108,2023-06-08,180.089
109,2023-06-09,180.478
110,2023-06-12,183.301
111,2023-06-13,182.822
112,2023-06-14,183.46
113,2023-06-15,185.515
114,2023-06-16,184.428
115,2023-06-20,184.517
116,2023-06-21,183.47
117,2023-06-22,186.502
118,2023-06-23,186.183
119,2023-06-26,184.777
120,2023-06-27,187.559
121,2023-06-28,188.746
122,2023-06-29,189.085
123,2023-06-30,193.454
124,2023-07-03,191.948
125,2023-07-05,190.821
126,2023-07-06,191.299
127,2023-07-07,190.172
128,2023-07-10,188.108
129,2023-07-11,187.579
130,2023-07-12,189.265
131,2023-07-13,190.033
132,2023-07-14,190.182
133,2023-07-17,193.474
134,2023-07-18,193.214
135,2023-07-19,194.581
136,2023-07-20,192.616
137,2023-07-21,191.429
138,2023-07-24,192.237
139,2023-07-25,193.104
140,2023-07-26,193.982
141,2023-07-27,192.706
142,2023-07-28,195.309
143,2023-07-31,195.927
144,2023-08-01,195.084
145,2023-08-02,192.067
146,2023-08-03,190.661
147,2023-08-04,181.505
148,2023-08-07,178.374
149,2023-08-08,179.321
150,2023-08-09,177.716
151,2023-08-10,177.496
152,2023-08-11,177.556
153,2023-08-14,179.224
154,2023-08-15,177.217
155,2023-08-16,176.338
156,2023-08-17,173.771
157,2023-08-18,174.26
158,2023-08-21,175.609
159,2023-08-22,176.997
160,2023-08-23,180.882
161,2023-08-24,176.148
162,2023-08-25,178.375
163,2023-08-28,179.953
164,2023-08-29,183.878
165,2023-08-30,187.403
166,2023-08-31,187.623
167,2023-09-01,189.211
168,2023-09-05,189.45
169,2023-09-06,182.669
170,2023-09-07,177.326
171,2023-09-08,177.946
172,2023-09-11,179.124
173,2023-09-12,176.068
174,2023-09-13,173.981
175,2023-09-14,175.509
176,2023-09-15,174.78
177,2023-09-18,177.736
178,2023-09-19,178.834
179,2023-09-20,175.259
180,2023-09-21,173.701
181,2023-09-22,174.56
182,2023-09-25,175.848
183,2023-09-26,171.734
184,2023-09-27,170.206
185,2023-09-28,170.465
186,2023-09-29,170.985
187,2023-10-02,173.521
188,2023-10-03,172.173
189,2023-10-04,173.432
190,2023-10-05,174.68
191,2023-10-06,177.256
192,2023-10-09,178.754
193,2023-10-10,178.155
194,2023-10-11,179.563
195,2023-10-12,180.472
196,2023-10-13,178.615
197,2023-10-16,178.485
198,2023-10-17,176.917
199,2023-10-18,175.609
200,2023-10-19,175.229
201,2023-10-20,172.653
202,2023-10-23,172.772
203,2023-10-24,173.212
204,2023-10-25,170.875
205,2023-10-26,166.67
206,2023-10-27,167.999
207,2023-10-30,170.066
208,2023-10-31,170.545
209,2023-11-01,173.741
210,2023-11-02,177.336
211,2023-11-03,176.418
212,2023-11-06,178.994
213,2023-11-07,181.581
214,2023-11-08,182.649
215,2023-11-09,182.17
216,2023-11-10,186.4
217,2023-11-13,184.8
218,2023-11-14,187.44
219,2023-11-15,188.01
220,2023-11-16,189.71
221,2023-11-17,189.69
222,2023-11-20,191.45
223,2023-11-21,190.64
224,2023-11-22,191.31
225,2023-11-24,189.97
226,2023-11-27,189.79
227,2023-11-28,190.4
228,2023-11-29,189.37
229,2023-11-30,189.95
230,2023-12-01,191.24
231,2023-12-04,189.43
232,2023-12-05,193.42
233,2023-12-06,192.32
234,2023-12-07,194.27
235,2023-12-08,195.71
236,2023-12-11,193.18
237,2023-12-12,194.71
238,2023-12-13,197.96
239,2023-12-14,198.11
240,2023-12-15,197.57
241,2023-12-18,195.89
242,2023-12-19,196.94
243,2023-12-20,194.83
244,2023-12-21,194.68
245,2023-12-22,193.6
246,2023-12-26,193.05
247,2023-12-27,193.15
248,2023-12-28,193.58
249,2023-12-29,192.53
